"Catalog","OSDVersion","OSDStatus","UpdateOS","UpdateBuild","UpdateArch","UpdateGroup","CreationDate","KBNumber","FileKBNumber","Title","UpdateId","LegacyName","Type","FileName","Size","CompanyTitles","ProductFamilyTitles","Category","UpdateClassificationTitle","MsrcSeverity","SecurityBulletins","UpdateType","PublicationState","HasLicenseAgreement","RequiresLicenseAgreementAcceptance","State","IsLatestRevision","HasEarlierRevision","IsBeta","HasStaleUpdateApprovals","IsApproved","IsDeclined","HasSupersededUpdates","IsSuperseded","IsWsusInfrastructureUpdate","IsEditable","UpdateSource","AdditionalInformationUrls","Description","ReleaseNotes","FileUri","OriginUri","Hash","AdditionalHash","OSDCore","OSDWinPE","OSDGuid","PartitionKey","RowKey"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 ar-sa x64","27e9d415-9076-46e6-a416-3c34ef619a5e","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_ar-sa.esd","3681231117","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_b2c250f80e72c9c9358ced8748d96e9acbaba8d2.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_ar-sa_b2c250f80e72c9c9358ced8748d96e9acbaba8d2.esd","178 194 80 248 14 114 201 201 53 140 237 135 72 217 110 154 203 171 168 210","249 18 163 140 4 206 74 232 120 29 163 2 91 115 132 16 38 91 153 30 245 125 63 136 106 118 102 226 202 81 189 85","","","3e7d3bce-876d-4110-b203-373ad88dc3df","FeatureUpdate Windows 10 21H2","3e7d3bce-876d-4110-b203-373ad88dc3df"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 ar-sa x86","7aeb850a-9092-4ea9-a228-e246f2f8b1d2","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_ar-sa.esd","2649830507","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_ar-sa_13cb38250a278cc918935972d0cb4e7beb521d81.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_ar-sa_13cb38250a278cc918935972d0cb4e7beb521d81.esd","19 203 56 37 10 39 140 201 24 147 89 114 208 203 78 123 235 82 29 129","85 89 79 135 91 36 107 219 198 228 67 185 162 29 108 242 19 150 188 47 245 77 162 48 149 119 43 148 166 92 212 77","","","f0f78da0-c877-413e-907e-f57979170bee","FeatureUpdate Windows 10 21H2","f0f78da0-c877-413e-907e-f57979170bee"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 bg-bg x64","9c4e3306-09b6-4cbe-b09c-0db7ba08b0b4","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_bg-bg.esd","3764449123","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_bg-bg_412c2b897b3795bf02f2ebd6fd0d972151921794.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_bg-bg_412c2b897b3795bf02f2ebd6fd0d972151921794.esd","65 44 43 137 123 55 149 191 2 242 235 214 253 13 151 33 81 146 23 148","166 240 76 167 132 21 84 213 231 157 8 252 9 249 253 55 103 186 84 184 134 12 207 13 196 161 175 31 64 236 191 139","","","7feef3d2-c872-406b-8f7d-aa43ace958d2","FeatureUpdate Windows 10 21H2","7feef3d2-c872-406b-8f7d-aa43ace958d2"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 bg-bg x86","a93c3952-5920-4f24-b95a-7d8da900a8a7","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_bg-bg.esd","2680118600","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_bg-bg_7f0361d326c5b26a9c020ef232d8c6bd7ca01210.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_bg-bg_7f0361d326c5b26a9c020ef232d8c6bd7ca01210.esd","127 3 97 211 38 197 178 106 156 2 14 242 50 216 198 189 124 160 18 16","125 21 91 1 115 63 226 114 213 6 147 75 212 161 94 184 248 248 252 236 82 84 168 119 197 18 115 194 99 44 111 54","","","62c5238b-0009-482c-a416-7845434060aa","FeatureUpdate Windows 10 21H2","62c5238b-0009-482c-a416-7845434060aa"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 cs-cz x64","517938b2-6078-4c76-b7e0-ffb70ac3c5f1","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_cs-cz.esd","3759458309","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_cs-cz_c7050864fbaf16358147cae43f265590c8a41784.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_cs-cz_c7050864fbaf16358147cae43f265590c8a41784.esd","199 5 8 100 251 175 22 53 129 71 202 228 63 38 85 144 200 164 23 132","47 94 19 32 172 81 254 86 235 189 177 217 98 54 222 244 187 154 55 2 155 38 63 38 153 67 40 79 36 164 64 113","","","4cb00585-6cad-4bec-b21b-646341bb8a06","FeatureUpdate Windows 10 21H2","4cb00585-6cad-4bec-b21b-646341bb8a06"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 cs-cz x86","a8460d41-b401-407c-b378-ce321009f101","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_cs-cz.esd","2672613648","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_cs-cz_f9d7a60625f339521f27f506a62c75efc9bc2986.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_cs-cz_f9d7a60625f339521f27f506a62c75efc9bc2986.esd","249 215 166 6 37 243 57 82 31 39 245 6 166 44 117 239 201 188 41 134","219 0 16 33 54 137 118 143 214 168 142 13 231 182 122 169 98 0 241 76 53 191 190 231 246 152 3 30 194 163 66 183","","","0f65cb20-7efb-4951-b536-67a44ad559da","FeatureUpdate Windows 10 21H2","0f65cb20-7efb-4951-b536-67a44ad559da"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 da-dk x64","891adeac-159b-493b-9511-26a7d61da18f","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_da-dk.esd","3789938158","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_da-dk_b8c4db0685b37230bd9753accd28559197c34e33.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_da-dk_b8c4db0685b37230bd9753accd28559197c34e33.esd","184 196 219 6 133 179 114 48 189 151 83 172 205 40 85 145 151 195 78 51","213 1 210 22 13 153 240 169 185 72 33 176 10 101 164 194 43 17 20 160 99 107 196 206 109 34 60 91 149 145 205 39","","","26f5c067-5cd6-4c47-8822-02f6fbff8074","FeatureUpdate Windows 10 21H2","26f5c067-5cd6-4c47-8822-02f6fbff8074"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 da-dk x86","332ccc31-0eab-4ff8-9998-a532fb073e62","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_da-dk.esd","2696578184","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://download.windowsupdate.com/d/msdownload/update/software/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_da-dk_f653d78ee866383981f5abc9ae33a51855a74712.esd","http://download.windowsupdate.com/d/msdownload/update/software/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_da-dk_f653d78ee866383981f5abc9ae33a51855a74712.esd","246 83 215 142 232 102 56 57 129 245 171 201 174 51 165 24 85 167 71 18","228 174 71 177 134 126 65 215 200 58 142 174 230 179 184 97 9 121 200 215 172 67 248 186 193 212 38 255 140 206 38 81","","","2b5415f9-f81c-43a5-bcf6-39fa413c54c8","FeatureUpdate Windows 10 21H2","2b5415f9-f81c-43a5-bcf6-39fa413c54c8"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x64","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 de-de x64","5e16b37c-890c-4760-a07d-081d0d539a0e","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x64FRE_de-de.esd","3890611461","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_de-de_193f899fb8b28f79dff0a3ffaa874ad56adbc08a.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x64fre_de-de_193f899fb8b28f79dff0a3ffaa874ad56adbc08a.esd","25 63 137 159 184 178 143 121 223 240 163 255 170 135 74 213 106 219 192 138","231 181 58 90 52 26 24 180 161 87 232 241 148 72 204 59 18 171 224 87 169 18 241 19 201 208 100 109 10 72 59 38","","","7dd355fa-a08d-446f-b180-6c71df440ebf","FeatureUpdate Windows 10 21H2","7dd355fa-a08d-446f-b180-6c71df440ebf"
"FeatureUpdate Windows 10 21H2","22.6.14.1","","Windows 10","21H2","x86","","5/23/2022 9:00:00 PM","3012973","19044 1706 220505 0136","Windows 10 (business editions) version 21H2 de-de x86","ddf5a246-1289-4399-91f7-10c7ba4703c0","","None","19044.1706.220505-0136.21h2_release_svc_refresh_CLIENTBUSINESS_VOL_x86FRE_de-de.esd","2801405235","Microsoft","Windows","Windows 10, version 1903 and later","Upgrades","Unspecified","","Software","Published","False","False","Ready","True","False","False","False","False","False","True","False","False","False","MicrosoftUpdate","http://go.microsoft.com/fwlink/?LinkID=507415","Install the latest update for Windows 10: Windows 10, version 21H2.","","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_de-de_8c63c77f4388edf275fa1a7cce18b9689d8f5692.esd","http://b1.download.windowsupdate.com/c/upgr/2022/05/19044.1706.220505-0136.21h2_release_svc_refresh_clientbusiness_vol_x86fre_de-de_8c63c77f4388edf275fa1a7cce18b9689d8f5692.esd","140 99 199 127 67 136 237 242 117 250 26 124 206 24 185 104 157 143 86 146","37 69 219 162 85 118 83 134 111 130 57 52 138 27 176 26 52 172 141 93 9 247 74 248 14 203 128 227 216 30 96 53","","","520efbe1-c2cb-44f1-bcc5-1cd593646d1f","FeatureUpdate Windows 10 21H2","520efbe1-c2cb-44f1-bcc5-1cd593646d1f"
